sample,day_count,expiry_assumption,expiry_adjustment_days,maturity_lower_days,maturity_upper_days,volume_threshold,observations,currencies,first_date,last_date,corr,rmse,mean_gap,median_gap,std_gap,abs_median_gap
advanced,360,last_trade_friday,-5,60,90,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.276457728,0.3672231897,0.2184684097,1.224361781,0.2184684097
advanced,360,last_trade_friday,-5,60,85,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.276457728,0.3672231897,0.2184684097,1.224361781,0.2184684097
advanced,360,last_trade_friday,-5,60,80,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.276457728,0.3672231897,0.2184684097,1.224361781,0.2184684097
advanced,360,third_wednesday,0,50,95,5000,392,7,2010-03-31,2025-06-30,0.7699101183,1.282863708,0.3462260899,0.2034920722,1.236838413,0.2034920722
advanced,365,last_trade_friday,-5,50,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.283221158,0.3675226732,0.2393692433,1.231343252,0.2393692433
advanced,365,last_trade_friday,-5,55,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.283221158,0.3675226732,0.2393692433,1.231343252,0.2393692433
advanced,365,last_trade_friday,-5,60,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.283221158,0.3675226732,0.2393692433,1.231343252,0.2393692433
advanced,365,last_trade_friday,-5,65,95,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.283221158,0.3675226732,0.2393692433,1.231343252,0.2393692433
advanced,365,last_trade_friday,-5,60,90,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.283221158,0.3675226732,0.2393692433,1.231343252,0.2393692433
advanced,365,last_trade_friday,-5,60,85,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.283221158,0.3675226732,0.2393692433,1.231343252,0.2393692433
advanced,365,last_trade_friday,-5,60,80,10000,328,7,2010-03-31,2025-06-30,0.7746323071,1.283221158,0.3675226732,0.2393692433,1.231343252,0.2393692433
advanced,360,last_trade_monday,-2,50,95,20000,306,7,2010-03-31,2025-06-30,0.7412179636,1.283278874,0.3563544653,0.20551166,1.234827586,0.20551166
advanced,360,third_wednesday,0,50,95,2500,400,7,2010-03-31,2025-06-30,0.7656789733,1.284888878,0.3432186895,0.2138232033,1.23975111,0.2138232033
advanced,360,last_trade_friday,-5,70,95,500,372,7,2010-03-31,2025-06-30,0.79288492,1.285456372,0.5932269922,0.3627410009,1.141921694,0.3627410009
advanced,360,last_trade_friday,-5,70,90,500,372,7,2010-03-31,2025-06-30,0.79288492,1.285456372,0.5932269922,0.3627410009,1.141921694,0.3627410009
advanced,360,third_wednesday,0,55,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.28646452,0.3773437526,0.2138232033,1.232005103,0.2138232033
advanced,360,third_wednesday,0,60,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.28646452,0.3773437526,0.2138232033,1.232005103,0.2138232033
advanced,360,third_wednesday,0,65,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.28646452,0.3773437526,0.2138232033,1.232005103,0.2138232033
advanced,360,third_wednesday,0,70,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.28646452,0.3773437526,0.2138232033,1.232005103,0.2138232033
advanced,360,third_wednesday,0,60,90,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.28646452,0.3773437526,0.2138232033,1.232005103,0.2138232033
advanced,360,third_wednesday,0,60,85,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.28646452,0.3773437526,0.2138232033,1.232005103,0.2138232033
advanced,360,third_wednesday,0,70,90,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.28646452,0.3773437526,0.2138232033,1.232005103,0.2138232033
advanced,365,third_wednesday,0,50,95,5000,392,7,2010-03-31,2025-06-30,0.7699101183,1.288316369,0.3471766738,0.2189064439,1.242241549,0.2189064439
advanced,360,last_trade_friday,-5,45,95,20000,333,7,2010-03-31,2025-06-30,0.7526663942,1.288618732,0.3584772045,0.2168499341,1.23961562,0.2168499341
advanced,365,last_trade_monday,-2,50,95,20000,306,7,2010-03-31,2025-06-30,0.7412179636,1.288918399,0.3554487805,0.2055490712,1.240967156,0.2055490712
advanced,365,last_trade_friday,-5,70,95,500,372,7,2010-03-31,2025-06-30,0.79288492,1.289383476,0.5953661477,0.3723404033,1.145239991,0.3723404033
advanced,365,last_trade_friday,-5,70,90,500,372,7,2010-03-31,2025-06-30,0.79288492,1.289383476,0.5953661477,0.3723404033,1.145239991,0.3723404033
advanced,365,third_wednesday,0,50,95,2500,400,7,2010-03-31,2025-06-30,0.7656789733,1.290462294,0.3439619708,0.2250096464,1.245335395,0.2250096464
advanced,365,third_wednesday,0,55,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.290897351,0.3763933702,0.2189064439,1.236939745,0.2189064439
advanced,365,third_wednesday,0,60,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.290897351,0.3763933702,0.2189064439,1.236939745,0.2189064439
advanced,365,third_wednesday,0,65,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.290897351,0.3763933702,0.2189064439,1.236939745,0.2189064439
advanced,365,third_wednesday,0,70,95,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.290897351,0.3763933702,0.2189064439,1.236939745,0.2189064439
advanced,365,third_wednesday,0,60,90,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.290897351,0.3763933702,0.2189064439,1.236939745,0.2189064439
advanced,365,third_wednesday,0,60,85,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.290897351,0.3763933702,0.2189064439,1.236939745,0.2189064439
advanced,365,third_wednesday,0,70,90,20000,290,7,2010-03-31,2025-06-30,0.7366405356,1.290897351,0.3763933702,0.2189064439,1.236939745,0.2189064439
advanced,360,last_trade_monday,-2,55,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,360,last_trade_monday,-2,60,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,360,last_trade_monday,-2,65,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,360,last_trade_monday,-2,70,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,360,last_trade_monday,-2,60,90,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,360,last_trade_monday,-2,60,85,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,360,last_trade_monday,-2,60,80,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,360,last_trade_monday,-2,70,90,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.295411187,0.3755063322,0.2308716908,1.241935494,0.2308716908
advanced,365,last_trade_friday,-5,45,95,20000,333,7,2010-03-31,2025-06-30,0.7526663942,1.296013898,0.3576673874,0.2267941269,1.247557589,0.2267941269
advanced,360,last_trade_monday,-2,75,95,1000,272,7,2011-06-30,2025-06-30,0.8014949543,1.297141646,0.6273562615,0.3451604127,1.137434407,0.3451604127
advanced,360,third_wednesday,0,60,80,1000,192,7,2010-03-31,2025-06-30,0.7293896654,1.299191276,0.1111286819,0.1494214243,1.29781389,0.1494214243
advanced,365,last_trade_monday,-2,75,95,1000,272,7,2011-06-30,2025-06-30,0.8014949543,1.299412549,0.6281192809,0.3484466877,1.13961126,0.3484466877
advanced,365,last_trade_monday,-2,55,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,365,last_trade_monday,-2,60,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,365,last_trade_monday,-2,65,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,365,last_trade_monday,-2,70,95,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,365,last_trade_monday,-2,60,90,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,365,last_trade_monday,-2,60,85,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,365,last_trade_monday,-2,60,80,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,365,last_trade_monday,-2,70,90,20000,290,7,2010-03-31,2025-06-30,0.7365014661,1.300650342,0.3745304301,0.2367429146,1.247712506,0.2367429146
advanced,360,last_trade_monday,-2,75,95,50000,120,6,2011-06-30,2024-06-30,0.7512735772,1.301125665,0.5562052256,0.181123678,1.181181751,0.181123678
advanced,365,last_trade_monday,-2,75,95,50000,120,6,2011-06-30,2024-06-30,0.7512735772,1.304308738,0.5628087371,0.182566248,1.181567515,0.182566248
