date,spot_local_per_usd,futures_local_per_usd,futures_log_basis,futures_pct_basis,ccy,yahoo_symbol,us_rate,foreign_rate,assumed_expiry_date,assumed_tau_years,rate_differential_us_minus_foreign,region_group,futures_implied_basis_next_imm,futures_implied_basis_fixed_3m,futures_implied_basis_next_imm_bps,futures_implied_basis_fixed_3m_bps,basis_maturity_assumption_spread_bps,futures_premium_next_imm_pct_ann,futures_premium_fixed_3m_pct_ann,dks_forward_premium_3m_pct_ann,premium_gap_next_imm_pct_ann,premium_gap_fixed_3m_pct_ann
2010-05-31,7.5517,7.629510779,0.01025102164,1.030374336,ZAR,6Z=F,0.0016,0.065828,2010-06-16,0.04383561644,-0.064228,Emerging markets,0.01306649562,0.02630802164,130.6649562,263.0802164,-132.4152603,23.38514312,4.100408656,6.1888089,17.19633422,-2.088400244
2010-06-30,1.179245283,1.194172411,0.01257875932,1.265820467,AUD,6A=F,0.0012,0.048875,2010-09-15,0.2109589041,-0.047675,Advanced economies,0.02263622507,0.02449750932,226.3622507,244.9750932,-18.61284247,5.962658639,5.031503728,4.1640286,1.798630039,0.867475128
2010-06-30,1.7941,1.809790911,0.008707816229,0.8745839547,BRL,6L=F,0.0012,0.1012,2010-09-15,0.2109589041,-0.1,Emerging markets,0.02980370664,0.03370781623,298.0370664,337.0781623,-39.04109589,4.12773107,3.483126492,8.6136389,-4.48590783,-5.130512408
2010-06-30,1.0606,1.063603521,0.002827905304,0.28319076,CAD,6C=F,0.0012,0.00522,2010-09-15,0.2109589041,-0.00402,Advanced economies,0.003675960099,0.003832905304,36.75960099,38.32905304,-1.569452055,1.340500566,1.131162122,0.18758987,1.152910696,0.9435722516
2010-06-30,1.0774,1.075847248,-0.001442242002,-0.144120247,CHF,6S=F,0.0012,0.0011774075,2010-09-15,0.2109589041,2.25925e-05,Advanced economies,-0.001447008091,-0.001447890127,-14.47008091,-14.47890127,0.008820359589,-0.6836601698,-0.5768968008,-1.0874351,0.4037749302,0.5105382992
2010-06-30,0.8136034497,0.8164598364,0.003504636508,0.3510784927,EUR,6E=F,0.0012,0.007275909091,2010-09-15,0.2109589041,-0.006075909091,Advanced economies,0.004786403631,0.005023613781,47.86403631,50.23613781,-2.372101494,1.661288734,1.401854603,-0.42013592,2.081424654,1.821990523
2010-06-30,0.6690305747,0.668627982,-0.0006019363638,-0.06017552364,GBP,6B=F,0.0012,0.0072839,2010-09-15,0.2109589041,-0.0060839,Advanced economies,0.0006815165129,0.0009190386362,6.815165129,9.190386362,-2.375221233,-0.2853334712,-0.2407745455,-0.086914159,-0.1984193122,-0.1538603865
2010-06-30,88.49,88.37825705,-0.001263572901,-0.1262774929,JPY,6J=F,0.0012,0.0038,2010-09-15,0.2109589041,-0.0026,Advanced economies,-0.0007150797507,-0.0006135729014,-7.150797507,-6.135729014,-1.015068493,-0.5989663752,-0.5054291604,-0.59072816,-0.008238215177,0.0852989996
2010-06-30,12.8306,12.90739007,0.005967078233,0.5984916708,MXN,6M=F,0.0012,0.0501,2010-09-15,0.2109589041,-0.0489,Emerging markets,0.01628296864,0.01819207823,162.8296864,181.9207823,-19.09109589,2.828550072,2.386831293,3.8014061,-0.9728560284,-1.414574807
2010-06-30,1.449065353,1.462202079,0.009024808475,0.9065654843,NZD,6N=F,0.0012,0.0307,2010-09-15,0.2109589041,-0.0295,Advanced economies,0.01524809615,0.01639980847,152.4809615,163.9980847,-11.51712329,4.277993628,3.60992339,2.5479317,1.730061928,1.06199169
2010-06-30,7.6252,7.688167857,0.00822395343,0.8257863028,ZAR,6Z=F,0.0012,0.065416,2010-09-15,0.2109589041,-0.064216,Emerging markets,0.02177089042,0.02427795343,217.7089042,242.7795343,-25.07063014,3.898367535,3.289581372,6.0543594,-2.155991865,-2.764778028
2010-07-31,1.104850293,1.112470832,0.006873671915,0.6897349818,AUD,6A=F,0.0016,0.0484,2010-09-15,0.1260273973,-0.0468,Advanced economies,0.01277175411,0.01857367191,127.7175411,185.7367191,-58.01917808,5.454109235,2.749468766,4.2407069,1.213402335,-1.491238134
2010-07-31,1.7585,1.756388852,-0.001201260576,-0.1200539352,BRL,6L=F,0.0016,0.1063,2010-09-15,0.1260273973,-0.1047,Emerging markets,0.01199380792,0.02497373942,119.9380792,249.7373942,-129.7993151,-0.9531741524,-0.4805042304,8.9191074,-9.872281552,-9.39961163
2010-07-31,1.0293,1.029760095,0.0004468979182,0.0446997792,CAD,6C=F,0.0016,0.00575,2010-09-15,0.1260273973,-0.00415,Advanced economies,0.0009699116169,0.001484397918,9.699116169,14.84397918,-5.144863014,0.3546037828,0.1787591673,0.26883352,0.08577026281,-0.09007435272
2010-07-31,1.041,1.039501026,-0.001440974204,-0.1439936499,CHF,6S=F,0.0016,0.001828511905,2010-09-15,0.1260273973,-0.0002285119048,Advanced economies,-0.001412175443,-0.001383846228,-14.12175443,-13.83846228,-0.2832921559,-1.143381705,-0.5763896816,-0.73333532,-0.410046385,0.1569456384
2010-07-31,0.765169485,0.7660487125,0.001148402736,0.1149062403,EUR,6E=F,0.0016,0.008488181818,2010-09-15,0.1260273973,-0.006888181818,Advanced economies,0.002016502362,0.00287044819,20.16502362,28.7044819,-8.539458281,0.9112326055,0.4593610944,-0.1562013,1.067433905,0.6155623944
2010-07-31,0.6363752068,0.6372267665,0.001337246329,0.1338140841,GBP,6B=F,0.0016,0.0073603,2010-09-15,0.1260273973,-0.0057603,Advanced economies,0.002063201945,0.002777321329,20.63201945,27.77321329,-7.141193836,1.061075891,0.5348985316,0.029553108,1.031522783,0.5053454236
2010-07-31,86.43,86.31851554,-0.001290714171,-0.1289881558,JPY,6J=F,0.0016,0.0037,2010-09-15,0.1260273973,-0.0021,Advanced economies,-0.001026056637,-0.0007657141714,-10.26056637,-7.657141714,-2.603424658,-1.024153635,-0.5162856684,-0.63386226,-0.3902913754,0.1175765916
2010-07-31,12.6421,12.682308,0.003175437504,0.3180484547,MXN,6M=F,0.0016,0.0501,2010-09-15,0.1260273973,-0.0485,Emerging markets,0.009287766272,0.0153004375,92.87766272,153.004375,-60.12671233,2.519640627,1.270175002,3.8200881,-1.300447473,-2.549913098
2010-07-31,1.377220768,1.384849706,0.005524085987,0.5539371884,NZD,6N=F,0.0016,0.0323,2010-09-15,0.1260273973,-0.0307,Advanced economies,0.009393127083,0.01319908599,93.93127083,131.9908599,-38.05958904,4.38324214,2.209634395,2.74317,1.64007214,-0.5335356052
2010-07-31,7.2915,7.309941198,0.002525943529,0.2529136412,ZAR,6Z=F,0.0016,0.06477777778,2010-09-15,0.1260273973,-0.06317777778,Emerging markets,0.01048807443,0.01832038797,104.8807443,183.2038797,-78.32313546,2.004281278,1.010377412,6.0466576,-4.042376322,-5.036280188
2010-08-31,1.122334456,1.127649989,0.00472495973,0.4736139954,AUD,6A=F,0.0016,0.047425,2010-09-15,0.04109589041,-0.045825,Advanced economies,0.006608178908,0.01618120973,66.08178908,161.8120973,-95.73030822,11.49740201,1.889983892,4.2813239,7.21607811,-2.391340008
2010-08-31,1.7529,1.756543136,0.002076190982,0.2078347759,BRL,6L=F,0.0016,0.1063,2010-09-15,0.04109589041,-0.1047,Emerging markets,0.006378930708,0.02825119098,63.78930708,282.5119098,-218.7226027,5.052064723,0.8304763928,8.0237503,-2.971685577,-7.193273907
2010-08-31,1.064,1.067463703,0.003250072522,0.3255359734,CAD,6C=F,0.0016,0.0066,2010-09-15,0.04109589041,-0.005,Advanced economies,0.003455551974,0.004500072522,34.55551974,45.00072522,-10.44520548,7.908509804,1.300029009,0.54881775,7.359692054,0.7512112588
2010-08-31,1.015,1.016156911,0.00113916467,0.1139813765,CHF,6S=F,0.0016,0.0020656935,2010-09-15,0.04109589041,-0.0004656935,Advanced economies,0.001158302759,0.001255588045,11.58302759,12.55588045,-0.9728528596,2.771967364,0.455665868,-0.3894164,3.161383764,0.845082268
2010-08-31,0.7871536524,0.7897646836,0.003311564711,0.3317054,EUR,6E=F,0.0016,0.008955,2010-09-15,0.04109589041,-0.007355,Advanced economies,0.003613824985,0.005150314711,36.13824985,51.50314711,-15.36489726,8.058140797,1.324625884,0.098592266,7.959548531,1.226033618
